date,corridor,event_intensity,tone_severity,news_volume_spike,price_volatility
2024-08-20,red_sea,21.42,56.09,33.17,47.62
2024-08-21,red_sea,32.37,60.6,43.44,45.85
2024-08-22,red_sea,48.55,64.09,50.29,47.49
2024-08-23,red_sea,58.82,67.28,57.21,49.73
2024-08-24,red_sea,52.46,66.49,52.8,51.59
2024-08-25,red_sea,38.18,68.09,44.46,56.94
2024-08-26,red_sea,40.35,71.09,47.8,56.94
2024-08-27,red_sea,48.63,72.82,53.35,58.65
2024-08-28,red_sea,59.57,71.1,64.08,56.29
2024-08-29,red_sea,59.5,67.55,68.35,55.34
2024-08-30,red_sea,52.49,64.5,65.61,56.31
2024-08-31,red_sea,36.75,64.49,54.85,61.35
2026-08-16,red_sea,17.84,60.31,33.28,64.99
2026-08-17,red_sea,6.05,55.53,19.64,45.46
2026-08-18,red_sea,1.9,50.0,12.29,29.44
2026-08-19,red_sea,2.03,50.0,13.72,13.41
2026-08-20,red_sea,2.16,50.0,14.99,16.91
2026-08-21,red_sea,2.29,50.0,16.19,16.91
2026-08-22,red_sea,2.42,50.0,17.3,16.91
2026-08-23,red_sea,2.55,50.0,18.32,16.91
